Start Time,Year,Month,Day,Hour,Longitude,Latitude,Province Code,Reference Object,Hail Diameter (mm)
7/30/2006 23:30,2006,7,30,23,-110.6,52.93,AB,toonie,28
7/31/2006 0:45,2006,7,31,0,-106.67,52.15,SK,pea,8
8/24/2006 3:38,2006,8,24,3,-104.5,52.33,SK,pea,8
7/12/2015 23:39,2015,7,12,23,-99.469,49.336,MB,pea,8
7/22/2015 18:53,2015,7,22,18,-114.333,50.955,AB,golf ball,43
8/22/2015 13:30,2015,8,22,13,-96.284,49.105,MB,unknown,
8/22/2015 14:00,2015,8,22,14,-96.137,49.087,MB,unknown,
8/25/2017 0:58,2017,8,25,0,-112.9702,52.76461,AB,dime,18
6/9/2018 23:15,2018,6,9,23,-111.15407,54.24991,AB,pea,8
6/10/2018 0:53,2018,6,10,0,-110.26799,49.95431,AB,non-severe,8
6/15/2018 0:12,2018,6,15,0,-100.88044,49.04662,MB,golf ball,43
6/16/2019 0:30,2019,6,16,0,-113.9664,55.30674,AB,pea,8
6/28/2019 23:45,2019,6,28,23,-111.61134,54.76568,AB,toonie,28
8/1/2019 23:05,2019,8,1,23,-104.45439,52.60584,SK,toonie,28
8/1/2019 23:40,2019,8,1,23,-104.02534,52.65929,SK,quarter,24
8/2/2019 5:15,2019,8,2,5,-105.24972,53.75174,SK,toonie,28
5/31/2020 23:30,2020,5,31,23,-111.30751,52.61556,AB,small,5
6/28/2020 0:10,2020,6,28,0,-110.7034,50.02917,AB,pea,8
6/28/2020 0:58,2020,6,28,0,-111.38678,56.74941,AB,unknown,
7/16/2020 23:30,2020,7,16,23,-112.46864,54.11505,AB,pea,8
6/30/2021 6:30,2021,6,30,6,-121.24448,60.44067,NT,unknown,
6/29/2022 21:02,2022,6,29,21,-105.24527,51.73543,SK,loonie,26.5
7/18/2022 19:10,2022,7,18,19,-110.916,50.0035,AB,unknown,
8/2/2022 1:25,2022,8,2,1,-114.23589,52.63968,AB,unknown,
8/2/2022 2:05,2022,8,2,2,-113.58337,52.6759,AB,unknown,
5/15/2005 21:00,2005,5,15,21,-109.47,53.1,SK,pea,8
5/15/2005 21:15,2005,5,15,21,-109.37,52.7,SK,pea,8
5/23/2005 21:05,2005,5,23,21,-104,53.45,SK,pea,8
5/31/2005 1:45,2005,5,31,1,-118.43,55.17,AB,pea,8
6/1/2005 21:40,2005,6,1,21,-100.38,50.58,MB,pea,8
6/1/2005 22:00,2005,6,1,22,-100.22,50.58,MB,pea,8
6/25/2005 20:30,2005,6,25,20,-108.1,50.38,SK,quarter,24
7/3/2005 1:20,2005,7,3,1,-98.9,49.2,MB,apple,70
7/13/2005 23:05,2005,7,13,23,-111.12,52.02,AB,pea,8
7/13/2005 23:05,2005,7,13,23,-110.77,52.08,AB,pea,8
7/14/2005 1:07,2005,7,14,1,-108.58,52.33,SK,golf ball,43
7/14/2005 2:50,2005,7,14,2,-106.9,52.83,SK,pea,8
7/14/2005 4:00,2005,7,14,4,-103.85,49.67,SK,pea,8
7/31/2005 4:30,2005,7,31,4,-97.18,49.83,MB,pea,8
5/22/2006 23:56,2006,5,22,23,-113.25,50.4,AB,estimated 6mm,6
5/24/2006 18:30,2006,5,24,18,-102.16,51.04,SK,estimated 6mm,6
5/28/2006 8:00,2006,5,28,8,-100.59,49.24,MB,pea,8
5/28/2006 9:00,2006,5,28,9,-100.59,49.24,MB,pea,8
5/28/2006 15:45,2006,5,28,15,-96.82,49.67,MB,pea,8
6/5/2006 18:00,2006,6,5,18,-98.24,49.37,MB,non-severe,8
6/5/2006 19:55,2006,6,5,19,-97.37,49.35,MB,pea,8
6/5/2006 20:40,2006,6,5,20,-104.61,50.45,SK,pea,8
6/11/2006 3:55,2006,6,11,3,-113.65,53.45,AB,pea,8
